symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2021-01-12 00:00:00+00:00,128.8,129.69,126.86,128.5,90440255,125.5148494,126.3821492,123.6243307,125.2225012,90440255,0,1
AAPL,2021-01-13 00:00:00+00:00,130.89,131.45,128.49,128.76,88636831,127.5515423,128.097259,125.2127562,125.4758697,88636831,0,1
AAPL,2021-01-14 00:00:00+00:00,128.91,131,128.76,130.8,90221755,125.6220438,127.6587366,125.4758697,127.4638378,90221755,0,1
AAPL,2021-01-15 00:00:00+00:00,127.14,130.2242,127,128.78,111598531,123.8971891,126.902724,123.7607599,125.4953596,111598531,0,1
AAPL,2021-01-19 00:00:00+00:00,127.83,128.71,126.938,127.78,90757329,124.5695901,125.427145,123.7003413,124.5208654,90757329,0,1
AAPL,2021-01-20 00:00:00+00:00,132.03,132.49,128.55,128.66,104319489,128.6624656,129.1107329,125.2712259,125.3784203,104319489,0,1
AAPL,2021-01-21 00:00:00+00:00,136.87,139.67,133.59,133.8,120529544,133.3790174,136.1076011,130.1826765,130.3873203,120529544,0,1
AAPL,2021-01-22 00:00:00+00:00,139.07,139.85,135.02,136.28,114459360,135.5229046,136.28301,131.5762032,132.8040658,114459360,0,1
AAPL,2021-01-25 00:00:00+00:00,142.92,145.09,136.54,143.07,157611713,139.2747072,141.3893595,133.0574343,139.4208813,157611713,0,1
AAPL,2021-01-26 00:00:00+00:00,143.16,144.3,141.37,143.6,98390555,139.5085858,140.6195091,137.7642412,139.9373632,98390555,0,1
AAPL,2021-01-27 00:00:00+00:00,142.06,144.3,140.41,143.43,140843759,138.4366422,140.6195091,136.8287268,139.7716992,140843759,0,1
AAPL,2021-01-28 00:00:00+00:00,137.09,141.99,136.7,139.52,142621128,133.5934061,138.3684276,133.2133534,135.961427,142621128,0,1
AAPL,2021-01-29 00:00:00+00:00,131.96,136.74,130.21,135.83,177523812,128.594251,133.2523332,126.8888862,132.3655435,177523812,0,1
AAPL,2021-02-01 00:00:00+00:00,134.14,135.38,130.93,133.75,106239823,130.7186483,131.9270211,127.590522,130.3385956,106239823,0,1
AAPL,2021-02-02 00:00:00+00:00,134.99,136.31,134.61,135.73,82266419,131.5469684,132.8333007,131.1766606,132.2680941,82266419,0,1
AAPL,2021-02-03 00:00:00+00:00,133.94,135.77,133.61,135.76,89880937,130.5237495,132.3070738,130.2021664,132.2973289,89880937,0,1
AAPL,2021-02-04 00:00:00+00:00,137.39,137.4,134.59,136.3,84183061,133.8857544,133.8954993,131.1571707,132.8235557,84183061,0,1
AAPL,2021-02-05 00:00:00+00:00,136.76,137.42,135.86,137.35,75693830,133.4715944,134.1157246,132.5932349,134.0474078,75693830,0.205,1
AAPL,2021-02-08 00:00:00+00:00,136.91,136.96,134.92,136.03,71297214,133.6179876,133.6667853,131.6758373,132.7591473,71297214,0,1
AAPL,2021-02-09 00:00:00+00:00,136.01,137.877,135.85,136.62,75986989,132.7396282,134.561736,132.5834754,133.3349607,75986989,0,1
AAPL,2021-02-10 00:00:00+00:00,135.39,136.99,134.4,136.48,72647988,132.1345361,133.696064,131.1683408,133.198327,72647988,0,1
AAPL,2021-02-11 00:00:00+00:00,135.13,136.39,133.77,135.9,64280029,131.8807878,133.110491,130.5534892,132.6322731,64280029,0,1
AAPL,2021-02-12 00:00:00+00:00,135.37,135.53,133.6921,134.35,60145130,132.115017,132.2711698,130.4774623,131.119543,60145130,0,1
AAPL,2021-02-16 00:00:00+00:00,133.19,136.01,132.79,135.49,80576316,129.9874353,132.7396282,129.5970533,132.2321316,80576316,0,1
AAPL,2021-02-17 00:00:00+00:00,130.84,132.22,129.47,131.25,97372199,127.6939413,129.040759,126.356883,128.0940828,97372199,0,1
AAPL,2021-02-18 00:00:00+00:00,129.71,129.995,127.41,129.2,96856748,126.5911122,126.8692593,124.3464159,126.0933752,96856748,0,1
AAPL,2021-02-19 00:00:00+00:00,129.87,130.71,128.8,130.24,87668834,126.747265,127.5670671,125.7029932,127.1083683,87668834,0,1
AAPL,2021-02-22 00:00:00+00:00,126,129.72,125.6,128.01,102886922,122.9703195,126.6008717,122.5799375,124.9319888,102886922,0,1
AAPL,2021-02-23 00:00:00+00:00,125.86,126.71,118.39,123.76,158273022,122.8336858,123.6632474,115.5433025,120.7841804,158273022,0,1
AAPL,2021-02-24 00:00:00+00:00,125.35,125.56,122.23,124.94,111039904,122.3359488,122.5408993,119.2909694,121.9358072,111039904,0,1
AAPL,2021-02-25 00:00:00+00:00,120.99,126.4585,120.54,124.68,144766924,118.0807853,123.4177948,117.6416056,121.682059,144766924,0,1
AAPL,2021-02-26 00:00:00+00:00,121.26,124.85,121.2,122.59,163424672,118.3442932,121.8479713,118.2857359,119.6423132,163424672,0,1
AAPL,2021-03-01 00:00:00+00:00,127.79,127.93,122.79,123.75,116307892,124.7172788,124.8539124,119.8375042,120.7744209,116307892,0,1
AAPL,2021-03-02 00:00:00+00:00,125.12,128.72,125.01,128.41,102260945,122.1114791,125.6249168,122.0041241,125.3223708,102260945,0,1
AAPL,2021-03-03 00:00:00+00:00,122.06,125.71,121.84,124.81,112966340,119.1250571,122.6872925,118.910347,121.8089331,112966340,0,1
AAPL,2021-03-04 00:00:00+00:00,120.13,123.6,118.62,121.75,178154975,117.2414641,120.6280277,115.7677722,118.8225111,178154975,0,1
AAPL,2021-03-05 00:00:00+00:00,121.42,121.935,117.57,120.98,153766601,118.5004459,119.0030627,114.7430195,118.0710258,153766601,0,1
AAPL,2021-03-08 00:00:00+00:00,116.36,121,116.21,120.93,154376610,113.5621141,118.0905449,113.4157208,118.022228,154376610,0,1
AAPL,2021-03-09 00:00:00+00:00,121.085,122.06,118.79,119.03,129525780,118.173501,119.1250571,115.9336845,116.1679137,129525780,0,1
AAPL,2021-03-10 00:00:00+00:00,119.98,122.17,119.45,121.69,111943326,117.0950709,119.2324121,116.5778148,118.7639538,111943326,0,1
AAPL,2021-03-11 00:00:00+00:00,121.96,123.21,121.26,122.54,103026514,119.0274616,120.2474052,118.3442932,119.5935154,103026514,0,1
AAPL,2021-03-12 00:00:00+00:00,121.03,121.17,119.16,120.4,88105050,118.1198235,118.2564572,116.2947878,117.5049719,88105050,0,1
AAPL,2021-03-15 00:00:00+00:00,123.99,124,120.42,121.41,92590555,121.0086501,121.0184096,117.524491,118.4906864,92590555,0,1
AAPL,2021-03-16 00:00:00+00:00,125.57,127.22,124.715,125.7,115227936,122.5506588,124.1609845,121.7162174,122.677533,115227936,0,1
AAPL,2021-03-17 00:00:00+00:00,124.76,125.8599,122.336,124.05,111932636,121.7601354,122.8335882,119.3944206,121.0672074,111932636,0,1
AAPL,2021-03-18 00:00:00+00:00,120.53,123.18,120.32,122.88,121469755,117.6318461,120.2181266,117.4268955,119.9253401,121469755,0,1
AAPL,2021-03-19 00:00:00+00:00,119.99,121.43,119.675,119.9,185549522,117.1048304,118.5102055,116.7974046,117.0169945,185549522,0,1
AAPL,2021-03-22 00:00:00+00:00,123.39,123.87,120.26,120.33,111912284,120.4230771,120.8915355,117.3683382,117.4366551,111912284,0,1
AAPL,2021-03-23 00:00:00+00:00,122.54,124.24,122.14,123.33,95467142,119.5935154,121.2526388,119.2031335,120.3645198,95467142,0,1
